Land;Jahr;Anteil_BIP_Prozent;Militaerausgaben_Mio_USD_konst2023;Quelle
Ghana;2024;0,43;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2015;2,31;4939;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2016;2,38;5061;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2017;2,37;5227;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2018;2,52;5622;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2019;2,39;5519;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2020;2,68;5909;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2021;2,47;5710;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2022;2,67;6239;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2023;2,89;7103;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Griechenland;2024;3,08;7836;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2015;2,06;62434;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2016;1,96;62350;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2017;1,79;61089;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2018;1,8;62134;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2019;1,73;62025;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2020;2,17;71630;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2021;2,21;71730;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2022;2,15;72360;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2023;2,28;81950;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Grossbritannien;2024;2,33;81800;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2015;0,43;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2016;0,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2017;0,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2018;0,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2019;0,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2020;0,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2021;0,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2022;0,39;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2023;0,39;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Guatemala;2024;0,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2015;1,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2016;1,61;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2017;1,54;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2018;1,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2019;1,45;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2020;1,48;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2021;1,45;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2022;1,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2023;1,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Honduras;2024;1,42;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2015;2,26;58600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2016;2,45;64700;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2017;2,44;67000;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2018;2,38;66500;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2019;2,39;71100;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2020;2,93;76600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2021;2,7;76000;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2022;2,44;75820;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2023;2,35;83620;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indien;2024;2,31;86100;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2015;0,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2016;0,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2017;0,85;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2018;0,77;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2019;0,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2020;0,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2021;0,83;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2022;0,8;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2023;0,73;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Indonesien;2024;0,85;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2015;5,05;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2016;3,98;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2017;3,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2018;2,93;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2019;3,85;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2020;4,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2021;3,64;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2022;3,87;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2023;3,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irak;2024;3,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2015;2,55;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2016;2,63;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2017;2,84;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2018;2,6;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2019;2,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2020;2,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2021;2,33;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2022;2,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2023;2,65;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Iran;2024;2,35;7900;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2015;0,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2016;0,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2017;0,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2018;0,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2019;0,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2020;0,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2021;0,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2022;0,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2023;0,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Irland;2024;0,29;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2015;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2016;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2017;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2018;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2019;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2020;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2021;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2022;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2023;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Island;2024;0;0;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2015;5,38;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2016;5,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2017;5,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2018;5,0;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2019;5,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2020;5,59;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2021;5,04;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2022;4,52;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2023;5,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Israel;2024;8,8;45600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2015;1,04;27900;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2016;1,08;29186;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2017;1,14;31030;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2018;1,2;33115;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2019;1,22;33951;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2020;1,56;42350;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2021;1,54;42480;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2022;1,51;42990;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2023;1,46;42550;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Italien;2024;1,49;44200;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2015;0,94;43100;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2016;0,94;43900;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2017;0,93;44600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2018;0,93;46600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2019;0,93;47600;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2020;0,96;49800;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2021;0,97;51700;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2022;1,1;57700;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2023;1,24;67700;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Japan;2024;1,4;79400;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2015;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2016;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2017;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2018;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2019;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2020;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2021;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2022;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2023;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jemen;2024;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2015;4,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2016;4,73;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2017;4,77;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2018;4,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2019;4,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2020;4,51;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2021;4,84;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2022;4,8;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2023;4,63;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Jordanien;2024;4,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2015;2,2;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2016;2,14;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2017;2,01;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2018;2,08;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2019;2,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2020;2,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2021;2,5;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2022;2,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2023;2,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kambodscha;2024;2,34;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2015;1,33;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2016;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2017;1,35;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2018;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2019;1,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2020;1,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2021;1,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2022;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2023;1,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kamerun;2024;1,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2015;1,0;17935;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2016;0,99;18115;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2017;1,31;24500;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2018;1,33;25534;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2019;1,29;25345;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2020;1,46;27918;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2021;1,27;25445;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2022;1,24;25640;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2023;1,33;28100;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kanada;2024;1,42;30400;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2015;1,05;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2016;0,88;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2017;0,89;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2018;0,83;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2019;0,97;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2020;1,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2021;0,96;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2022;0,77;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2023;0,89;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kasachstan;2024;0,9;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2015;1,92;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2016;2,89;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2017;2,85;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2018;2,36;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2019;2,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2020;2,91;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2021;2,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2022;1,83;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2023;2,07;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Katar;2024;2,04;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2015;1,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2016;1,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2017;1,18;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2018;1,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2019;1,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2020;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2021;1,28;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2022;1,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2023;1,23;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kenia;2024;1,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2015;3,45;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2016;3,21;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2017;3,37;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2018;3,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2019;3,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2020;3,25;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2021;3,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2022;3,1;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2023;3,06;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kolumbien;2024;3,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2015;1,55;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2016;1,55;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2017;1,6;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2018;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2019;1,69;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2020;1,7;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2021;1,73;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2022;1,81;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2023;1,81;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kroatien;2024;1,91;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2015;4,81;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2016;5,82;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2017;5,57;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2018;5,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2019;5,61;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2020;7,08;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2021;6,47;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2022;5,68;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2023;4,14;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Kuwait;2024;4,31;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2015;0,22;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2016;0,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2017;0,21;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2018;0,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2019;0,17;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2020;0,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2021;0,2;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2022;0,19;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2023;0,2;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Laos;2024;0,21;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2015;1,04;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2016;1,45;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2017;1,59;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2018;2,06;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2019;2,01;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2020;2,26;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2021;2,22;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2022;2,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2023;2,27;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Lettland;2024;3,15;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2015;4,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2016;4,14;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2017;4,11;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2018;4,49;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2019;5,32;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2020;3,95;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2021;2,8;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2022;3,24;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2023;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libanon;2024;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2015;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2016;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2017;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2018;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2019;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2020;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2021;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2022;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2023;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Libyen;2024;k.A.;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2015;1,14;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2016;1,49;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2017;1,74;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2018;1,98;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2019;2,03;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2020;2,13;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2021;2,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2022;2,52;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2023;2,54;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Litauen;2024;2,85;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2015;0,44;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2016;0,4;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2017;0,46;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2018;0,52;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2019;0,5;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2020;0,53;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2021;0,57;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2022;0,57;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2023;0,72;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Luxemburg;2024;1,3;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Malaysia;2015;1,56;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Malaysia;2016;1,41;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Malaysia;2017;1,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
Malaysia;2018;1,09;k.A.;SIPRI Military Expenditure Database / defensebudget.org / Weltbank
